slug,title,verified_action,verified_action_description,not_verified_action,not_verified_action_description,notes
clinical-trial-documents,Clinical Trial Enrollment,POST interaction form,"Report encounter: medications given, adverse events, request investigator callback; initiates chargeback/reimbursement claim",Contact trial hotline,"Call emergency number on card to report suspicious document or confirm enrollment verbally",Authentication gap: anyone who sees card can POST; mitigated by human triage and audit trails
building-inspector-verification,Building Inspector Badges,Log visit in facility records,"Record verified badge number, timestamp, and areas accessed for compliance and liability",Call police non-emergency or 911,"Report potential impersonation; do not allow entry; request supervisor callback from issuing agency",Suspended/Alert status should trigger same response as not-verified
bar-admission-good-standing,Attorney Good Standing,Proceed with engagement,"Court can accept Pro Hac Vice motion; client can sign retainer; bank can open trust account",File complaint with state bar,"Report potential unauthorized practice of law; do not proceed with legal engagement",Suspended status: may still hold valid credential but cannot practice
healthcare-worker-credentials,Healthcare Worker Credentials,Log verification in patient record,"Document that provider credentials were verified before treatment; audit trail for malpractice defense",Report to facility security,"Escalate to security and nursing supervisor; do not allow unsupervised patient access",See LLM.md verification-meta.json for abuse protection and progressive guidance
police-officer-credentials,Law Enforcement Credentials,Comply with lawful orders,"Verification confirms authority; proceed with traffic stop, warrant service, etc.",Request supervisor or call 911,"Ask for badge number and supervisor; call local dispatch to confirm officer identity",Legitimate officers should welcome verification; resistance is a red flag
professional-licenses-general,Professional Licenses,Hire or engage professional,"Proceed with employment, contract, or service engagement with confidence",Request alternative proof,"Ask for issuing board contact; verify directly with licensing authority before engagement",Covers: electricians, plumbers, contractors, real estate agents, etc.
insurance-policy-documents,Insurance Policy Documents,File claim via POST form,"Submit claim details directly; policy number pre-filled; faster than calling 800 number",Contact insurer directly,"Call customer service to verify coverage before proceeding with treatment or repair",POST form can include: claim type, estimated amount, photos, provider info
product-authenticity-certificates,Product Authenticity,Register warranty + report counterfeit sightings,"Optional: register product for warranty; report where/when purchased to help brand track distribution",Report counterfeit to brand,"Submit counterfeit report form: where purchased, photos, batch codes; helps brand and customs enforcement",Luxury goods, pharmaceuticals, auto parts, electronics
vehicle-inspection-certificates,Vehicle Inspection Certificates,None typically,"Verification confirms vehicle passed inspection; no further action needed",Report fraudulent inspection station,"File complaint with DMV or state inspection authority; station may be issuing fake passes",Emissions fraud is common; verification protects buyers of used vehicles
food-safety-certifications,Food Safety Certifications,None typically,"Restaurant/facility has valid health certification; no action needed",Report to health department,"File complaint with local health authority; request inspection",Protects diners from fake Grade A certificates
academic-credentials,Academic Credentials,Proceed with hiring/admission,"Degree verified; proceed with job offer or graduate school admission",Request official transcript,"Contact registrar directly; do not proceed with employment based on unverified degree",Diploma mills are common; verification protects employers
controlled-substance-prescriptions,Controlled Substance Prescriptions,Dispense medication,"Pharmacist can fill prescription with confidence; log in PDMP",Refuse to dispense,"Do not fill; contact prescribing physician to verify; report to state pharmacy board if suspicious",Prevents doctor shopping and forged prescriptions
notarized-documents,Notarized Documents,Accept document for filing,"Court clerk or recording office can accept document; notary seal verified",Reject and report,"Refuse to record; report to Secretary of State notary division for investigation",Fake notaries enable property fraud, forged POAs
court-orders-judgments,Court Orders and Judgments,Enforce order,"Sheriff/marshal can proceed with eviction, garnishment, asset seizure",Refuse to enforce,"Do not execute potentially forged order; contact issuing court clerk to verify",Prevents enforcement of fake restraining orders, custody orders
immigration-work-permits,Work Authorization Documents,Complete I-9 verification,"Employer can document work authorization compliance; proceed with hiring",Request alternative documents,"Ask for different List A/B/C documents; do not hire based solely on unverified document",E-Verify integration possible but not required
power-of-attorney,Power of Attorney Documents,Accept agent authority,"Bank, hospital, or institution can allow agent to act on principal's behalf",Refuse agent actions,"Do not allow transactions; require principal to appear or provide fresh POA",POA fraud is common in elder abuse cases
medical-device-certifications,Medical Device Certifications,Proceed with implant/use,"Surgeon can proceed; device provenance verified; useful for recall tracking",Quarantine device,"Do not use; contact manufacturer; may be counterfeit or subject to recall",POST form could register device serial + patient for future recall notifications
contractor-bonds-insurance,Contractor Bonds and Insurance,Proceed with project,"Homeowner can sign contract with confidence; bond and insurance are current",Require proof before payment,"Do not pay deposit; require direct verification from bonding company",Protects homeowners from unlicensed or uninsured contractors
vaccine-certificates,Vaccine Certificates,Grant access/exemption,"Allow entry to venue, school, or country; update immunization registry",Request alternative proof,"Ask for provider contact; verify with issuing clinic or pharmacy",Fake vaccine cards were rampant during COVID; verification rebuilds trust
